DATE,Close,High,Low,Open,Volume
2025-05-23,107287.796875,111798.90625,106841.3046875,111679.359375,67548133399
2025-05-30,103998.5703125,106308.9453125,103685.7890625,105646.2109375,57655287183
2025-06-06,104390.34375,105376.7734375,101169.5703125,101574.3671875,48856653697
2025-06-13,106090.96875,106182.546875,102822.0234375,105924.59375,69550440846
2025-06-20,103309.6015625,106539.3828125,102372.2109375,104681.03125,50951862476
2025-06-27,107088.4296875,107772.46875,106449.9921875,106954.921875,45353692675
2025-07-04,108034.3359375,109751.984375,107296.3828125,109635.65625,42616442656
2025-07-11,117516.9921875,118856.4765625,115245.6875,115986.234375,86928361085
2025-07-18,118003.2265625,120851.9140625,116925.984375,119284.109375,77945799785
2025-07-25,117635.8828125,118486.9765625,114759.8203125,118368.0,104857024569
2025-08-01,113320.0859375,116060.7734375,112724.4453125,115738.953125,91294530181
2025-08-08,116688.7265625,117689.203125,115917.4609375,117505.5,59713005166
2025-08-15,117398.3515625,119332.3125,116864.5703125,118365.78125,68665353159
2025-08-22,116874.0859375,117377.3984375,111678.9453125,112433.734375,82528088240
2025-08-29,108410.8359375,112619.0546875,107559.625,112550.5234375,77843379644
2025-09-05,110650.984375,113357.4921875,110233.3984375,110723.015625,60241647677
2025-09-12,116101.578125,116769.3828125,114794.484375,115507.7890625,54785725894
2025-09-19,115688.859375,117479.7578125,115141.8203125,117137.671875,38828473971
2025-09-26,109712.828125,110359.1953125,108728.9765625,109041.296875,57738288949
2025-10-03,122266.53125,123944.703125,119344.3125,120656.984375,83941392228
2025-10-10,113214.3671875,122509.6640625,104582.4140625,121704.7421875,153125018868
2025-10-17,106467.7890625,109235.8046875,103598.4296875,108179.1328125,99703051669
2025-10-24,111033.921875,111842.53125,109770.1484375,110069.3515625,48160816980
2025-10-31,109556.1640625,111031.8203125,108288.2734375,108304.4140625,60090359560
2025-11-07,103372.40625,104052.9140625,99257.0546875,101286.2421875,92168030081
2025-11-14,94397.7890625,99804.4296875,94000.734375,99694.703125,114346441890
2025-11-21,85090.6875,87380.8046875,80659.8125,86528.7734375,129157506112
2025-11-28,90919.265625,92969.0859375,90257.1171875,91285.3828125,60895830289
2025-12-05,89387.7578125,92702.640625,88152.140625,92133.6484375,63256398633
2025-12-12,90270.4140625,92747.9296875,89532.6015625,92513.6640625,80275884583
2025-12-19,88103.3828125,89339.1171875,85107.6640625,85476.1328125,46733310561
2025-12-26,87301.4296875,89459.4296875,86628.140625,87235.5078125,42455674908
2026-01-02,89944.6953125,90884.4609375,88298.6171875,88733.0625,46398906171
2026-01-09,90513.1015625,91910.671875,89625.3828125,91026.2734375,38305906684
2026-01-16,95525.1171875,95801.890625,94259.2734375,95554.1015625,33248170537
2026-01-23,89503.875,91100.25,88486.359375,89462.046875,38997586037
2026-01-30,84128.65625,84602.1640625,81071.4765625,84562.7265625,72083816087
2026-02-06,70555.390625,71681.3046875,60074.203125,62704.453125,114674259489
2026-02-13,68857.84375,69382.8359375,65835.78125,66213.375,40820775886
2026-02-20,68005.421875,68269.03125,66452.484375,66958.578125,47507867304
2026-02-27,67453.7734375,68843.3515625,66523.734375,67954.8671875,42988597523
